,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
Intercept,217.311,0.134,217.061,217.57,0.002,0.004,4202.0,1223.0,1.0
Betas[0],0.018,0.164,-0.294,0.325,0.003,0.004,3256.0,1382.0,1.0
Betas[1],0.016,0.263,-0.459,0.517,0.005,0.005,2596.0,1631.0,1.0
Betas[2],0.187,0.271,-0.343,0.683,0.005,0.006,2767.0,1508.0,1.0
Betas[3],2.936,0.405,2.184,3.719,0.007,0.01,3232.0,1477.0,1.0
Betas[4],0.386,0.218,-0.043,0.773,0.005,0.004,2094.0,1781.0,1.0
Betas[5],-0.326,0.356,-0.98,0.353,0.009,0.007,1616.0,1494.0,1.0
Betas[6],-0.227,0.369,-0.948,0.43,0.009,0.007,1626.0,1572.0,1.0
Betas[7],0.204,0.549,-0.838,1.231,0.014,0.01,1510.0,1378.0,1.0
Betas[8],1.735,0.588,0.682,2.835,0.013,0.013,2122.0,1283.0,1.0
Betas[9],0.017,0.253,-0.448,0.485,0.005,0.006,2676.0,1762.0,1.0
Betas[10],0.142,0.267,-0.332,0.659,0.005,0.006,3002.0,1591.0,1.0
Betas[11],-0.543,0.418,-1.346,0.226,0.009,0.008,2332.0,1687.0,1.0
Betas[12],-0.323,0.409,-1.118,0.419,0.009,0.007,1889.0,1691.0,1.0
Betas[13],0.024,0.443,-0.839,0.823,0.009,0.008,2199.0,1752.0,1.0
Betas[14],1.285,0.459,0.454,2.193,0.011,0.01,1899.0,1479.0,1.0
Betas[15],-0.072,0.465,-0.895,0.834,0.01,0.009,2249.0,1815.0,1.0
Betas[16],-0.172,0.19,-0.518,0.189,0.003,0.005,3571.0,1506.0,1.0
Betas[17],0.311,0.18,-0.006,0.672,0.003,0.004,3222.0,1665.0,1.0
Betas[18],0.369,0.273,-0.096,0.943,0.006,0.006,2288.0,1704.0,1.0
Betas[19],0.148,0.32,-0.452,0.753,0.006,0.006,2447.0,1759.0,1.0
Betas[20],-0.102,0.162,-0.408,0.199,0.003,0.003,4062.0,1926.0,1.0
Betas[21],-0.26,0.265,-0.741,0.244,0.006,0.006,2251.0,1373.0,1.0
Betas[22],0.091,0.15,-0.201,0.354,0.002,0.003,3852.0,1859.0,1.0
Betas[23],0.08,0.265,-0.439,0.56,0.006,0.006,2187.0,1360.0,1.0
Betas[24],3.62,0.785,2.217,5.199,0.015,0.019,2590.0,1357.0,1.0
Betas[25],0.224,0.675,-1.045,1.461,0.017,0.014,1609.0,1357.0,1.0
Betas[26],3.617,0.78,2.062,5.034,0.016,0.016,2512.0,1426.0,1.0
Betas[27],-0.033,0.171,-0.35,0.278,0.003,0.003,2928.0,1681.0,1.0
Betas[28],-1.123,0.38,-1.834,-0.407,0.007,0.008,2666.0,1573.0,1.0
Betas[29],0.067,0.194,-0.293,0.427,0.004,0.004,2811.0,1603.0,1.0
Betas[30],-0.111,0.356,-0.767,0.565,0.008,0.007,1967.0,1688.0,1.0
Betas[31],-0.204,0.395,-0.938,0.526,0.009,0.008,2045.0,1687.0,1.0
Betas[32],0.095,0.592,-0.916,1.287,0.015,0.011,1525.0,1353.0,1.0
Betas[33],1.869,0.653,0.558,2.997,0.014,0.013,2126.0,1439.0,1.0
Betas[34],0.315,0.287,-0.222,0.823,0.007,0.006,1641.0,1513.0,1.0
Betas[35],0.329,0.283,-0.167,0.855,0.007,0.005,1881.0,1567.0,1.0
Betas[36],0.235,0.169,-0.099,0.548,0.003,0.004,3009.0,1524.0,1.0
Betas[37],-0.42,0.266,-0.946,0.044,0.005,0.005,2798.0,1786.0,1.0
Betas[38],0.148,0.269,-0.344,0.66,0.005,0.005,2978.0,1637.0,1.0
Betas[39],2.19,0.386,1.472,2.877,0.008,0.008,2309.0,1693.0,1.0
Betas[40],1.197,0.219,0.772,1.588,0.004,0.004,2411.0,1527.0,1.0
Betas[41],-0.758,0.357,-1.383,-0.083,0.009,0.006,1681.0,1661.0,1.0
Betas[42],0.002,0.371,-0.708,0.666,0.009,0.007,1704.0,1758.0,1.0
Betas[43],0.417,0.544,-0.6,1.435,0.014,0.011,1602.0,1535.0,1.0
Betas[44],1.87,0.576,0.826,3.006,0.013,0.012,2099.0,1334.0,1.0
Betas[45],0.33,0.257,-0.102,0.844,0.005,0.005,2945.0,1582.0,1.0
Betas[46],0.056,0.268,-0.447,0.544,0.005,0.005,3251.0,1709.0,1.0
Betas[47],-0.305,0.428,-1.092,0.519,0.008,0.009,2880.0,1701.0,1.0
Betas[48],-0.037,0.418,-0.773,0.769,0.008,0.008,2822.0,1681.0,1.0
Betas[49],0.118,0.437,-0.682,0.937,0.01,0.009,1783.0,1388.0,1.0
Betas[50],0.671,0.465,-0.179,1.569,0.01,0.009,2085.0,1816.0,1.0
Betas[51],-0.247,0.469,-1.068,0.653,0.01,0.011,2202.0,1354.0,1.0
Betas[52],-0.103,0.167,-0.412,0.199,0.003,0.003,3599.0,1716.0,1.0
Betas[53],0.019,0.177,-0.315,0.344,0.003,0.004,3071.0,1811.0,1.0
Betas[54],0.026,0.283,-0.492,0.55,0.006,0.006,2287.0,1438.0,1.0
Betas[55],0.829,0.321,0.268,1.441,0.007,0.006,2146.0,1589.0,1.0
Betas[56],0.191,0.159,-0.082,0.51,0.003,0.003,3479.0,1523.0,1.0
Betas[57],0.15,0.183,-0.205,0.477,0.003,0.004,3232.0,1551.0,1.0
Betas[58],0.476,0.147,0.217,0.773,0.003,0.003,3105.0,1770.0,1.0
Betas[59],-0.253,0.176,-0.586,0.068,0.003,0.003,2999.0,1888.0,1.0
Betas[60],3.528,0.803,2.017,4.981,0.016,0.018,2651.0,1553.0,1.0
Betas[61],0.231,0.668,-1.048,1.443,0.016,0.014,1721.0,1560.0,1.0
Betas[62],3.52,0.798,2.066,5.108,0.015,0.019,2910.0,1632.0,1.0
Betas[63],0.027,0.173,-0.303,0.346,0.003,0.004,2777.0,1746.0,1.0
Betas[64],-0.607,0.384,-1.302,0.123,0.008,0.009,2611.0,1330.0,1.0
Betas[65],0.165,0.19,-0.202,0.512,0.004,0.004,2755.0,1590.0,1.0
Betas[66],-0.06,0.36,-0.792,0.58,0.008,0.007,1799.0,1636.0,1.0
Betas[67],0.263,0.396,-0.468,0.995,0.009,0.008,1854.0,1579.0,1.0
Betas[68],-0.096,0.588,-1.192,0.987,0.014,0.013,1699.0,1534.0,1.0
Betas[69],1.896,0.634,0.735,3.087,0.014,0.013,1962.0,1496.0,1.0
Betas[70],0.466,0.291,-0.112,0.98,0.007,0.006,1884.0,1581.0,1.0
Betas[71],0.254,0.28,-0.247,0.762,0.007,0.005,1774.0,1653.0,1.0
Betas[72],-0.018,0.261,-0.547,0.446,0.005,0.005,3017.0,1694.0,1.0
Betas[73],0.27,0.329,-0.377,0.869,0.006,0.007,2953.0,1703.0,1.0
Betas[74],-0.164,0.27,-0.687,0.316,0.005,0.006,3106.0,1533.0,1.0
Betas[75],0.124,0.329,-0.491,0.737,0.006,0.006,2697.0,1487.0,1.0
Betas[76],0.217,0.262,-0.26,0.718,0.006,0.005,2057.0,1608.0,1.0
Betas[77],0.103,0.169,-0.227,0.398,0.006,0.004,915.0,1065.0,1.0
Betas[78],-0.314,0.167,-0.618,-0.006,0.006,0.004,837.0,1082.0,1.0
Betas[79],-0.344,0.163,-0.643,-0.026,0.005,0.003,981.0,1037.0,1.0
Betas[80],-0.508,0.17,-0.838,-0.196,0.006,0.004,849.0,1086.0,1.0
Betas[81],-0.189,0.17,-0.517,0.127,0.006,0.004,898.0,1153.0,1.0
Betas[82],-0.328,0.171,-0.647,-0.012,0.006,0.003,900.0,1294.0,1.0
Betas[83],-0.163,0.166,-0.475,0.143,0.005,0.004,917.0,1120.0,1.0
Betas[84],-0.333,0.167,-0.667,-0.032,0.005,0.003,939.0,1054.0,1.0
Betas[85],-0.203,0.173,-0.496,0.138,0.006,0.003,941.0,1169.0,1.0
Betas[86],-0.265,0.168,-0.567,0.051,0.006,0.003,923.0,1358.0,1.0
Betas[87],-0.175,0.158,-0.452,0.13,0.005,0.004,854.0,847.0,1.0
Betas[88],-0.261,0.168,-0.566,0.062,0.006,0.004,902.0,948.0,1.01
Betas[89],-0.288,0.164,-0.565,0.048,0.005,0.004,960.0,1188.0,1.0
Betas[90],-0.497,0.166,-0.793,-0.181,0.006,0.004,903.0,978.0,1.0
Betas[91],-0.323,0.173,-0.64,0.012,0.006,0.004,867.0,1189.0,1.0
Betas[92],-0.275,0.166,-0.603,0.016,0.006,0.003,898.0,1297.0,1.0
Betas[93],-0.322,0.167,-0.641,-0.018,0.006,0.004,903.0,1189.0,1.0
Betas[94],-0.18,0.171,-0.478,0.157,0.006,0.003,839.0,978.0,1.0
Betas[95],-0.228,0.169,-0.547,0.096,0.006,0.003,890.0,1126.0,1.0
Betas[96],-0.208,0.173,-0.529,0.127,0.006,0.004,892.0,1359.0,1.0
Betas[97],-0.159,0.173,-0.527,0.124,0.006,0.004,878.0,1281.0,1.0
